Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,29.090908,29.090908,29.090908,29.090908,25.618721,38289394
2019-12-12,31.983471,31.983471,29.752066,30.413223,26.783213,505692621
2019-12-15,30.661158,30.991735,30.413223,30.909090,27.219894,98349281
2019-12-16,30.991735,31.487602,30.991735,31.404959,27.656578,105973907
2019-12-17,31.446280,31.528925,30.991735,31.198347,27.474625,142672245
2019-12-18,30.991735,31.074381,30.330578,30.330578,26.710428,83822621
2019-12-19,30.330578,30.371901,29.338842,29.338842,25.837063,108120197
2019-12-22,29.421488,29.504131,28.842976,29.173553,25.691504,39709972
2019-12-23,29.173553,29.462809,29.132231,29.421488,25.909845,35098090
2019-12-24,29.462809,29.504131,29.173553,29.256199,25.764286,22184338
2019-12-25,29.256199,29.256199,29.008265,29.090908,25.618721,13572736
2019-12-26,29.049585,29.214876,28.966942,29.214876,25.727890,13863242
2019-12-29,29.173553,29.504131,29.173553,29.256199,25.764286,22966690
2019-12-30,29.256199,29.297520,29.049585,29.049585,25.582335,13147121
2019-12-31,29.049585,29.132231,28.966942,29.132231,25.655111,16332772
2020-01-01,29.132231,29.132231,28.966942,29.008265,25.545946,8517342
2020-01-02,29.008265,29.132231,28.966942,29.049585,25.582335,11430744
2020-01-05,28.925619,28.925619,28.512396,28.553719,25.145651,25239125
2020-01-06,28.512396,28.553719,28.140495,28.512396,25.109257,23401835
2020-01-07,28.471073,28.553719,28.223141,28.388430,25.000092,13923075
2020-01-08,28.099173,28.264462,28.099173,28.264462,24.890919,22150479
2020-01-09,28.388430,28.966942,28.347107,28.925619,25.473162,31310879
2020-01-12,28.925619,29.049585,28.553719,28.760330,25.327599,24584632
2020-01-13,28.760330,28.925619,28.677685,28.719007,25.291210,16978173
2020-01-14,28.719007,28.801653,28.429752,28.801653,25.363989,12477898
2020-01-15,28.760330,28.760330,28.595041,28.677685,25.254822,12987230
2020-01-16,28.677685,28.677685,28.512396,28.595041,25.182041,11523975
2020-01-19,28.595041,28.595041,28.305784,28.388430,25.000092,13254735
2020-01-20,28.347107,28.595041,28.264462,28.595041,25.182041,8756076
2020-01-21,28.512396,28.595041,28.388430,28.553719,25.145651,8517485
2020-01-22,28.471073,28.512396,28.388430,28.471073,25.072870,6215751
2020-01-23,28.429752,28.471073,28.305784,28.471073,25.072870,7192433
2020-01-26,28.264462,28.388430,28.140495,28.347107,24.963697,9257143
2020-01-27,28.305784,28.305784,28.140495,28.305784,24.927309,8758776
2020-01-28,28.264462,28.305784,28.140495,28.305784,24.927309,8813615
2020-01-29,28.181818,28.429752,28.140495,28.429752,25.036478,10761242
2020-01-30,28.429752,28.429752,28.223141,28.223141,24.854527,6889782
2020-02-02,28.181818,28.181818,27.975206,28.057852,24.708965,13991469
2020-02-03,27.975206,28.099173,27.933884,28.057852,24.708965,10062499
2020-02-04,28.016527,28.099173,27.892561,27.975206,24.636190,9112708
2020-02-05,27.933884,28.057852,27.768595,27.809917,24.490627,11068032
2020-02-06,27.809917,27.892561,27.520660,27.603306,24.308676,11614195
2020-02-09,27.561983,28.140495,27.107437,28.140495,24.781746,21426588
2020-02-10,28.057852,28.057852,27.727272,27.768595,24.454233,7540306
2020-02-11,27.727272,27.809917,27.561983,27.644629,24.345070,5120739
